Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Franco Bittar Garcia,3.5,Brazil,retailing,859,37,"Franca, Brazil",Brazil,Single,,,FALSE
Martha Ingram & family,3.5,United States,"book distribution, transportation",859,85,"Nashville, Tennessee",United States,Widowed,4,"Bachelor of Arts/Science, Vassar College",FALSE
H. Fisk Johnson,3.5,United States,cleaning products,859,62,"Racine, Wisconsin",United States,Divorced,1,"Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",FALSE
Li Guoqiang,3.5,China,auto dealerships,859,57,"Beijing, China",China,Married,,,TRUE
Lim Wee Chai,3.5,Malaysia,rubber gloves,859,63,"Kuala Lumpur, Malaysia",Malaysia,Married,2,"Master of Business Administration, Sul Ross State University; Bachelor of Arts/Science, University of Malaya",TRUE
Liu Xiaodong,3.5,China,flavorings,859,53,"Shanghai, China",China,,,,TRUE
Daniel Loeb,3.5,United States,hedge funds,859,59,"New York, New York",United States,Married,,"Bachelor of Arts/Science, Columbia University",TRUE
Jim McKelvey,3.5,United States,mobile payments,859,55,"St. Louis, Missouri",United States,,,"Bachelor of Arts/Economics, Washington University in St. Louis; Bachelor of Science, Washington University in St. Louis",TRUE
Apoorva Mehta,3.5,Canada,grocery delivery service,859,34,"San Francisco, California",Canada,Single,,"Bachelor of Arts/Science, University of Waterloo",TRUE
N.R. Narayana Murthy,3.5,India,software services,859,74,"Bangalore, India",India,Married,2,"Master of Science, Indian Institute of Technology",TRUE
John Paulson,3.5,United States,hedge funds,859,65,"New York, New York",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, New York University",TRUE
J.B. Pritzker,3.5,United States,"hotels, investments",859,56,"Springfield, Illinois",United States,Married,2,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, Northwestern University",FALSE
Michael Rubin,3.5,United States,online retail,859,48,"Bryn Mawr, Pennsylvania",United States,Divorced,1,"Drop Out, Villanova University",TRUE
Arnout Schuijff,3.5,Netherlands,payments software,859,53,"Amsterdam, Netherlands",Netherlands,Married,,,TRUE
Thomas Secunda,3.5,United States,Bloomberg LP,859,66,"Croton-on-Hudson, New York",United States,Married,2,"Bachelor of Arts/Science, SUNY Binghamton",TRUE
Vivek Chaand Sehgal,3.5,Australia,auto parts,859,64,"Delhi, India",Australia,Married,2,"Bachelor of Arts/Science, Delhi University",TRUE
E. Joe Shoen,3.5,United States,U-Haul,859,71,"Phoenix, Arizona",United States,Married,,"Master of Business Administration, Harvard Business School",FALSE
Leena Tewari,3.5,India,pharmaceuticals,859,63,"Mumbai, India",India,Married,2,"B.Com, Bombay University; Master of Business Administration, Boston University",FALSE
Julia Thiele-Schuerhoff,3.5,Germany,brakes,859,,,Germany,,,,FALSE
Romesh T. Wadhwani,3.5,United States,software,859,73,"Palo Alto, California",United States,Married,1,"Doctorate, Carnegie Mellon University; Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology, Bombay",TRUE
Wu Shaoxun,3.5,China,wine,859,65,"Daye, China",China,,,,TRUE
Ye Guofu,3.5,China,retail,859,43,"Guangzhou, China",China,,,,TRUE
Denise York & family,3.5,United States,San Francisco 49ers,859,70,"Youngstown, Ohio",United States,Married,4,,FALSE
Zhou Jianping,3.5,China,fashion retail,859,60,"Jiangyin, China",China,Married,,,TRUE
Mohed Altrad,3.4,France,"scaffolding, cement mixers",891,73,"Montpellier, France",France,In Relationship,5,,TRUE
Gayle Benson,3.4,United States,pro sports teams,891,74,"New Orleans, Louisiana",United States,Widowed,,,FALSE
Francesco Gaetano Caltagirone,3.4,Italy,"cement, diversified",891,78,"Rome, Italy",Italy,Married,3,,TRUE
"William Conway, Jr.",3.4,United States,private equity,891,71,"McLean, Virginia",United States,Married,1,"Bachelor of Arts/Science, Dartmouth College",TRUE
Jim Davis,3.4,United States,staffing & recruiting,891,77,"Newton, Massachusetts",United States,Married,2,"Bachelor of Arts/Science, Middlebury College",TRUE
Deng Wen,3.4,China,flavorings,891,53,"Chengdu, China",China,Married,,,TRUE
Ennio Doris & family,3.4,Italy,financial services,891,80,"Tombolo, Italy",Italy,Married,2,"Diploma, High School",TRUE
Bernard Ecclestone & family,3.4,United Kingdom,Formula One,891,90,"London, United Kingdom",United Kingdom,Married,2,,TRUE
Alexander Frolov,3.4,Russia,"mining, steel",891,56,"Moscow, Russia",Russia,Married,1,"Doctorate, Moscow Institute of Physics and Technology",TRUE
Fiona Geminder,3.4,Australia,manufacturing,891,56,"Melbourne, Australia",Australia,Married,4,"Bachelor of Arts/Science, Monash University; LLB, Monash University",FALSE
Zarakh Iliev,3.4,Russia,real estate,891,54,"Moscow, Russia",Russia,Married,2,,TRUE
Viktor Kharitonin,3.4,Russia,pharmaceuticals,891,48,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Novosibirsk State University",TRUE
Steven Klinsky,3.4,United States,investments,891,64,"New York, New York",United States,,,"Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard Law School; Bachelor of Arts/Economics, University of Michigan, Ann Arbor",TRUE
Chris Larsen,3.4,United States,cryptocurrency,891,60,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, San Francisco State University; Master of Business Administration, Stanford Graduate School of Business",TRUE
Angela Leong,3.4,Hong Kong,casinos,891,60,"Hong Kong, Hong Kong",Hong Kong,Widowed,5,"Diploma, High School",FALSE
Margarita Louis-Dreyfus & family,3.4,Switzerland,commodities,891,58,"Davos, Switzerland",Switzerland,Widowed,3,,FALSE
John Middleton,3.4,United States,tobacco,891,66,"Bryn Mawr, Pennsylvania",United States,Married,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University",FALSE
Arnon Milchan,3.4,Israel,movie making,891,76,"Tel Aviv, Israel",Israel,Married,4,,TRUE
Arturo Moreno,3.4,United States,"billboards, Anaheim Angels",891,74,"Phoenix, Arizona",United States,Married,3,"Bachelor of Arts/Science, University of Arizona",TRUE
God Nisanov,3.4,Russia,real estate,891,49,"Moscow, Russia",Russia,Married,3,"Diploma, Baku Institute of Law",TRUE
Benjamin Zhengmin Pan & family,3.4,China,electronics,891,51,"Shenzhen, China",China,Married,,Jiangsu Province Wujin Teacher School,TRUE
Jay Paul,3.4,United States,real estate,891,73,"San Francisco, California",United States,Married,,"Bachelor of Arts/Science, Boston University",TRUE
Remo Ruffini,3.4,Italy,winter jackets,891,59,"Como, Italy",Italy,Married,2,,TRUE
Patrick Ryan,3.4,United States,insurance,891,83,"Winnetka, Illinois",United States,Married,3,"Bachelor of Arts/Science, Northwestern University",TRUE
RJ Scaringe,3.4,United States,electric vehicles,891,38,"Irvine, California",United States,Married,3,,TRUE
Lynn Schusterman,3.4,United States,"oil & gas, investments",891,82,"Tulsa, Oklahoma",United States,Widowed,3,"Drop Out, University of Miami",FALSE
Eric Ya Shen,3.4,China,online apparel retail,891,50,"Guangzhou, China",China,,,,TRUE
Daniel Tsai,3.4,Taiwan,finance,891,65,"Taipei, Taiwan",Taiwan,Married,4,"LLM, Georgetown University; LLB, National Taiwan University",FALSE
Tung Chee Chen,3.4,Hong Kong,shipping,891,78,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Master of Science, Massachusetts Institute of Technology; Bachelor of Arts/Science, University of Liverpool",FALSE
Bulat Utemuratov,3.4,Kazakhstan,"mining, banking, hotels",891,63,"Astana, Kazakhstan",Kazakhstan,Married,3,,TRUE
Frank VanderSloot,3.4,United States,"nutrition, wellness products",891,72,"Idaho Falls, Idaho",United States,Married,14,"Bachelor of Arts/Science, Brigham Young University",TRUE
Kelcy Warren,3.4,United States,pipelines,891,65,"Dallas, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Texas Arlington",TRUE
Xu Yi,3.4,China,Internet,891,,,,,,,
Vladimir Yevtushenkov,3.4,Russia,"telecom, investments",891,72,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Mendeleyev Chemical Engin; Master of Science, Moscow State University",TRUE
Somphote Ahunai,3.3,Thailand,renewable energy,925,53,"Bangkok, Thailand",Thailand,Married,3,"Master of Business Administration, Joseph M. Katz Graduate School of Business",TRUE
John Arnold,3.3,United States,hedge funds,925,47,"Houston, Texas",United States,Married,2,"Bachelor of Arts/Science, Vanderbilt University",TRUE
Neal Blue & family,3.3,United States,defense,925,86,"San Diego, California",United States,Widowed,,"Bachelor of Arts/Science, Yale University",TRUE
Alejandro Bulgheroni,3.3,Argentina,oil & gas,925,76,"Manantiales, Uruguay",Argentina,Married,7,,FALSE
Dong Jinggui,3.3,China,electric scooters,925,,"Wuxi, China",China,Married,,,TRUE
Joseph Edelman,3.3,United States,hedge funds,925,65,"New York, New York",United States,Married,,"Master of Business Administration, New York University; Bachelor of Arts/Science, University of California, San Diego",TRUE
Charles Edelstenne,3.3,France,aviation,925,83,"Paris, France",France,,,,TRUE
Senapathy Gopalakrishnan,3.3,India,software services,925,66,"Bangalore, India",India,Married,1,"Master of Science, Indian Institute of Technology",TRUE
B. Wayne Hughes,3.3,United States,self storage,925,87,"Lexington, Kentucky",United States,Divorced,2,"Bachelor of Arts/Science, University of Southern California",TRUE
Ravi Jaipuria,3.3,India,"soft drinks, fast food",925,66,"Delhi, India",India,Married,2,,FALSE
Samvel Karapetyan,3.3,Russia,real estate,925,55,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Yerevan Polytechnic Institute",TRUE
Vyacheslav Kim,3.3,Kazakhstan,fintech,925,51,"Almaty, Kazakhstan",Kazakhstan,Single,,,TRUE
Jim Koch,3.3,United States,beer,925,71,"Newton, Massachusetts",United States,Married,4,"Bachelor of Arts/Science, Harvard University; Doctor of Jurisprudence, Harvard University; Master of Business Administration, Harvard University",TRUE
"Andre Koo, Sr.",3.3,Taiwan,financial services,925,53,"Taipei, Taiwan",Taiwan,Married,2,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University",FALSE
Yuri Kovalchuk,3.3,Russia,"banking, insurance, media",925,69,"St. Petersburg, Russia",Russia,Married,1,"Doctorate, St Petersburg State University",TRUE
Richard LeFrak & family,3.3,United States,real estate,925,75,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Amherst College; Doctor of Jurisprudence, Columbia University",FALSE
Kevin David Lehmann,3.3,Germany,drugstores,925,18,,Germany,,,,FALSE
Horst Paulmann & family,3.3,Chile,retail,925,86,"Santiago, Chile",Chile,Married,3,,TRUE
Jean (Gigi) Pritzker,3.3,United States,"hotels, investments",925,58,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, Stanford University",FALSE
Qi Xiangdong,3.3,China,software,925,50,"Beijing, China",China,Married,,"Master of Business Administration, Beijing University of Science and Technology; Bachelor of Arts/Science, Changchun College of Posts and Telecommunications",TRUE
Renzo Rosso & family,3.3,Italy,fashion,925,65,"Bassano del Grappa, Italy",Italy,Divorced,7,,TRUE
Stephen Rubin,3.3,United Kingdom,sports apparel,925,84,"London, United Kingdom",United Kingdom,Married,4,,FALSE
"Bernard Saul, II.",3.3,United States,"banking, real estate",925,89,"Chevy Chase, Maryland",United States,Married,5,"LLB, University of Virginia; Bachelor of Arts/Science, Villanova University",FALSE
Klaus-Peter Schulenberg,3.3,Germany,ticketing service,925,,"Bremen, Germany",Germany,Married,,,TRUE
Tahir & family,3.3,Indonesia,diversified,925,69,"Jakarta, Indonesia",Indonesia,Married,4,"Master of Business Administration, Golden Gate University; Bachelor of Arts/Science, Nan Yang University",TRUE
Lucio Tan,3.3,Philippines,diversified,925,86,"Manila, Philippines",Philippines,Married,6,"Bachelor of Arts/Science, Far Eastern University",TRUE
Lottie Tham & family,3.3,Sweden,H&M,925,72,"Stockholm, Sweden",Sweden,Married,3,,FALSE
Wang Wenxue,3.3,China,real estate,925,53,"Beijing, China",China,Married,,,TRUE
Hans Peter Wild,3.3,Switzerland,flavorings,925,79,"Zug, Switzerland",Switzerland,Divorced,2,,FALSE
"William Wrigley, Jr.",3.3,United States,chewing gum,925,57,"North Palm Beach, Florida",United States,Divorced,4,"Bachelor of Arts/Science, Duke University",FALSE
Zhang Xin & Pan Shiyi,3.3,China,real estate,925,55,"Beijing, China",China,Married,2,"Master of Arts, Cambridge University; Bachelor of Arts/Science, University of Sussex",TRUE
Giuliana Benetton,3.2,Italy,"fashion retail, investments",956,83,"Treviso, Italy",Italy,Widowed,4,,TRUE
Luciano Benetton,3.2,Italy,"fashion retail, investments",956,85,"Ponzano Veneto, Italy",Italy,Married,4,,TRUE
Tomasz Biernacki,3.2,Poland,supermarkets,956,48,"Krotoszyn,, Poland",Poland,,,,TRUE
Chey Tae-won,3.2,South Korea,"oil, semiconductor",956,60,"Seoul, South Korea",South Korea,Separated,4,"Bachelor of Arts/Science, Korea University; Master of Science, University of Chicago",FALSE
John Collison,3.2,Ireland,payments software,956,30,"San Francisco, California",Ireland,Single,,"Drop Out, Harvard University",TRUE
Patrick Collison,3.2,Ireland,payment software,956,32,"San Francisco, California",Ireland,Engaged,,"Drop Out, Massachusetts Institute of Technology",TRUE
Jack Cowin,3.2,Australia,fast food,956,78,"Sydney, Australia",Australia,Married,4,"Bachelor of Arts/Science, University of Western Ontario",TRUE
Archie Aldis Emmerson & family,3.2,United States,"timberland, lumber mills",956,92,"Redding, California",United States,Married,3,"Diploma, High School",TRUE
Yoichi & Keiko Erikawa,3.2,Japan,videogames,956,,"Yokohama, Japan",Japan,Married,,,TRUE
Juan Carlos Escotet,3.2,Venezuela,banking,956,61,"A Coruña, Spain",Venezuela,Married,4,"Master, University of Miami",TRUE
Carlo Fidani,3.2,Canada,real estate,956,66,"Toronto, Canada",Canada,,,,FALSE
Don Hankey,3.2,United States,auto loans,956,77,"Malibu, California",United States,Married,4,"Bachelor of Arts/Science, University of Southern California",TRUE
Otto Happel,3.2,Germany,engineering,956,73,"Luzerne, Switzerland",Germany,Married,6,,FALSE
He Zhaoxi,3.2,China,software,956,47,"Shenzhen, China",China,Married,,"Bachelor of Engineering, Huazhong University of Science and Technology",TRUE
Heidi Horten,3.2,Austria,retail,956,80,"Vienna, Austria",Austria,"Widowed, Remarried",,,FALSE
Ke Zunhong & family,3.2,China,pharmaceuticals,956,66,"Chengdu, China",China,Married,,,TRUE
Thai Lee,3.2,United States,IT provider,956,62,"Austin, Texas",United States,Divorced,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard Business School",TRUE
Mikhail Lomtadze,3.2,Georgia,fintech,956,45,"Almaty, Kazakhstan",Georgia,Single,,"Master of Business Administration, Harvard Business School",TRUE
Ronald McAulay,3.2,Hong Kong,energy,956,85,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Master of Arts, University of Glasgow",FALSE
Maja Oeri,3.2,Switzerland,Pharmaceuticals,956,66,"Basel, Switzerland",Switzerland,Married,,,FALSE
James Packer,3.2,Australia,casinos,956,53,"Los Angeles, California",Australia,Divorced,3,,FALSE
John Sall,3.2,United States,software,956,73,"Cary, North Carolina",United States,Married,4,"Bachelor of Arts/Science, Beloit College; Master of Arts, Northern Illinois University",TRUE
Naguib Sawiris,3.2,Egypt,telecom,956,66,"Cairo, Egypt",Egypt,Married,4,"Bachelor of Arts/Science, Swiss Federal Polytechnical Institute; Master of Science, Swiss Federal Polytechnical Institute",FALSE
Zygmunt Solorz-Zak,3.2,Poland,TV broadcasting,956,64,"Warsaw, Poland",Poland,Divorced,3,,TRUE
Lawrence Stroll,3.2,Canada,fashion investments,956,61,"Geneva, Switzerland",Canada,Married,2,,TRUE
Rita Tong Liu,3.2,Hong Kong,real estate,956,72,"Hong Kong, Hong Kong",Hong Kong,Widowed,2,,TRUE
Tsai Cheng-ta,3.2,Taiwan,finance,956,71,"Taipei, Taiwan",Taiwan,Married,,Chinese Culture University,FALSE
Tsai Hong-tu,3.2,Taiwan,finance,956,68,"Taipei, Taiwan",Taiwan,Married,3,"Law Degree, National Taiwan University; Ph.D, Southern Methodist University",FALSE
Steve Wynn,3.2,United States,"casinos, hotels",956,79,"Las Vegas, Nevada",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania",TRUE
